date,signal_date,next_date,return,turnover,num_stocks,cost_bps,turnover_multiplier,period_cost,net_return,gross_nav,net_nav,drawdown
2020-02-17,2020-02-14,2020-02-24,0.0944668073820696,0.0,100,0,1.0,0.0,0.09446680738206958,1.0944668073820696,1.0944668073820696,0.0
2020-02-24,2020-02-21,2020-03-02,-0.0370985400773383,0.64,100,0,1.0,0.0,-0.03709854007733826,1.0538636866650894,1.0538636866650894,-0.03709854007733826
2020-03-02,2020-02-28,2020-03-09,0.0223127604923665,0.79,100,0,1.0,0.0,0.022312760492366523,1.0773782946972499,1.0773782946972499,-0.015613550424333877
2020-03-09,2020-03-06,2020-03-16,-0.0552259980357801,0.81,100,0,1.0,0.0,-0.0552259980357801,1.0178790031105074,1.0178790031105074,-0.06997727455504821
2020-03-16,2020-03-13,2020-03-23,-0.0117214493854416,0.94,100,0,1.0,0.0,-0.011721449385441618,1.0059479858950438,1.0059479858950438,-0.08087848885866178
2020-03-23,2020-03-20,2020-03-30,0.0135192951072347,0.67,100,0,1.0,0.0,0.013519295107234708,1.0195476935788872,1.0195476935788872,-0.06845261391013457
2020-03-30,2020-03-27,2020-04-07,0.0398755943538057,0.7,100,0,1.0,0.0,0.03987559435380561,1.060202763832397,1.060202763832397,-0.03130660822106712
2020-04-07,2020-04-03,2020-04-13,0.0013556797007999,0.71,100,0,1.0,0.0,0.0013556797007998611,1.0616400591980564,1.0616400591980564,-0.029993370253533547
2020-04-13,2020-04-10,2020-04-20,0.0212982212579659,0.67,100,0,1.0,0.0,0.021298221257965988,1.0842511040751768,1.0842511040751768,-0.009333954431499314
2020-04-20,2020-04-17,2020-04-27,-0.020951073187507,0.89,100,0,1.0,0.0,-0.020951073187506997,1.0615348798400626,1.0615348798400626,-0.030089471256583122
2020-04-27,2020-04-24,2020-05-06,0.0044514426930336,0.9,100,0,1.0,0.0,0.004451442693033547,1.0662602415243267,1.0662602415243267,-0.025771970120512022
2020-05-06,2020-04-30,2020-05-11,0.0207216848046009,0.95,100,0,1.0,0.0,0.020721684804600793,1.0883549501688714,1.0883549501688714,-0.005584323957541937
2020-05-11,2020-05-08,2020-05-18,-0.0068227453110523,0.63,100,0,1.0,0.0,-0.006822745311052314,1.080929381535846,1.080929381535846,-0.012368968848497697
2020-05-18,2020-05-15,2020-05-25,-0.017108325255379,0.8,100,0,1.0,0.0,-0.017108325255378976,1.062436490098435,1.062436490098435,-0.029265681761742934
2020-05-25,2020-05-22,2020-06-01,0.0584778024034355,0.63,100,0,1.0,0.0,0.058477802403435586,1.1245654412326112,1.1245654412326112,0.0
2020-06-01,2020-05-29,2020-06-08,0.0161205457955827,0.66,100,0,1.0,0.0,0.01612054579558264,1.142694049928131,1.142694049928131,0.0
2020-06-08,2020-06-05,2020-06-15,0.0045267672395824,0.65,100,0,1.0,0.0,0.004526767239582341,1.1478667599182113,1.1478667599182113,0.0
2020-06-15,2020-06-12,2020-06-22,0.0093754029026466,0.83,100,0,1.0,0.0,0.00937540290264649,1.158628473271,1.158628473271,0.0
2020-06-22,2020-06-19,2020-06-29,-0.0084781215420695,0.97,100,0,1.0,0.0,-0.008478121542069506,1.148805480252506,1.148805480252506,-0.008478121542069395
2020-06-29,2020-06-24,2020-07-06,0.0797602947239779,0.79,100,0,1.0,0.0,0.07976029472397794,1.240434543937967,1.240434543937967,0.0
2020-07-06,2020-07-03,2020-07-13,0.0742113970483889,0.99,100,0,1.0,0.0,0.07421139704838886,1.3324889243906846,1.3324889243906846,0.0
2020-07-13,2020-07-10,2020-07-20,-0.0700146961247523,0.73,100,0,1.0,0.0,-0.07001469612475231,1.2391951172598727,1.2391951172598727,-0.07001469612475231
2020-07-20,2020-07-17,2020-07-27,-0.0456315830369017,0.9,100,0,1.0,0.0,-0.045631583036901735,1.1826486823677056,1.1826486823677056,-0.11245139774163404
2020-07-27,2020-07-24,2020-08-03,0.0852244266889536,0.93,100,0,1.0,0.0,0.08522442668895369,1.2834392382969397,1.2834392382969397,-0.03681057695558265
2020-08-03,2020-07-31,2020-08-10,0.0153602619112424,0.6,100,0,1.0,0.0,0.01536026191124229,1.303153201144346,1.303153201144346,-0.022015735147482007
2020-08-10,2020-08-07,2020-08-17,0.0152511852068463,0.8,100,0,1.0,0.0,0.015251185206846207,1.323027831967893,1.323027831967893,-0.00710031599483496
2020-08-17,2020-08-14,2020-08-24,0.0141542189794987,0.75,100,0,1.0,0.0,0.014154218979498756,1.341754257617538,1.341754257617538,0.0
2020-08-24,2020-08-21,2020-08-31,-0.0077529907230406,0.55,100,0,1.0,0.0,-0.007752990723040587,1.331351649305629,1.331351649305629,-0.007752990723040698
2020-08-31,2020-08-28,2020-09-07,0.0203236009550958,0.86,100,0,1.0,0.0,0.020323600955095777,1.3584095089570252,1.3584095089570252,0.0
2020-09-07,2020-09-04,2020-09-14,-0.0172882463935853,0.36,100,0,1.0,0.0,-0.017288246393585283,1.334924990662787,1.334924990662787,-0.017288246393585283
2020-09-14,2020-09-11,2020-09-21,0.0081110569115329,0.5,100,0,1.0,0.0,0.008111056911532799,1.3457526432346802,1.3457526432346802,-0.009317415432451459
2020-09-21,2020-09-18,2020-09-28,-0.0486874883561525,0.8,100,0,1.0,0.0,-0.04868748835615255,1.2802313270869303,1.2802313270869303,-0.05755126223322693
2020-09-28,2020-09-25,2020-10-09,0.0196563153115514,0.61,100,0,1.0,0.0,0.01965631531155143,1.305395957723877,1.305395957723877,-0.03902619267870966
2020-10-09,2020-09-30,2020-10-12,0.0349375216,0.72,100,0,1.0,0.0,0.03493752160000008,1.3510032571934076,1.3510032571934076,-0.005452149528387795
2020-10-12,2020-10-09,2020-10-19,0.0023390063794756,0.36,100,0,1.0,0.0,0.0023390063794757054,1.3541632624306754,1.3541632624306754,-0.0031258957614408445
2020-10-19,2020-10-16,2020-10-26,-0.0151797343153944,0.56,100,0,1.0,0.0,-0.015179734315394433,1.3336074238873101,1.3336074238873101,-0.01825817980967892
2020-10-26,2020-10-23,2020-11-02,-0.0212114031515597,0.56,100,0,1.0,0.0,-0.02121140315155967,1.3053197391733236,1.3053197391733236,-0.039082301348481785
2020-11-02,2020-10-30,2020-11-09,0.0381094533880115,0.89,100,0,1.0,0.0,0.03810945338801153,1.3550647609298008,1.3550647609298008,-0.0024622531020064287
2020-11-09,2020-11-06,2020-11-16,-0.0144224852328362,0.79,100,0,1.0,0.0,-0.01442248523283618,1.335521359425754,1.335521359425754,-0.016849226525839422
2020-11-16,2020-11-13,2020-11-23,0.0223152574533174,0.89,100,0,1.0,0.0,0.022315257453317416,1.3653238623957442,1.3653238623957442,0.0
2020-11-23,2020-11-20,2020-11-30,-0.016393136028411,0.58,100,0,1.0,0.0,-0.01639313602841097,1.3429419225966552,1.3429419225966552,-0.01639313602841108
2020-11-30,2020-11-27,2020-12-07,-0.0072989878797858,0.77,100,0,1.0,0.0,-0.007298987879785779,1.333139805780366,1.333139805780366,-0.02357247060701373
2020-12-07,2020-12-04,2020-12-14,-0.0248259011151968,0.76,100,0,1.0,0.0,-0.02482590111519678,1.30004340878933,1.30004340878933,-0.04781316389787993
2020-12-14,2020-12-11,2020-12-21,0.0320722562636167,0.85,100,0,1.0,0.0,0.03207225626361665,1.3417387341498472,1.3417387341498472,-0.01727438367957035
2020-12-21,2020-12-18,2020-12-28,-0.008524182271083,0.82,100,0,1.0,0.0,-0.00852418227108298,1.3303015086197818,1.3303015086197818,-0.025651315955548037
2020-12-28,2020-12-25,2021-01-04,0.0415541577479669,0.67,100,0,1.0,0.0,0.041554157747967,1.3855810673613267,1.3855810673613267,0.0
2021-01-04,2020-12-31,2021-01-11,-0.0206802303907146,0.65,100,0,1.0,0.0,-0.02068023039071465,1.3569269316632822,1.3569269316632822,-0.02068023039071465
2021-01-11,2021-01-08,2021-01-18,0.0209306055407348,0.86,100,0,1.0,0.0,0.02093060554073478,1.385328234017526,1.385328234017526,-0.00018247459477938044
2021-01-18,2021-01-15,2021-01-25,-0.0026739157964829,0.74,100,0,1.0,0.0,-0.0026739157964829063,1.3816239829692727,1.3816239829692727,-0.0028559024695609114
2021-01-25,2021-01-22,2021-02-01,-0.0428907380948474,0.89,100,0,1.0,0.0,-0.04289073809484745,1.3223651105701777,1.3223651105701777,-0.04562414879956189
2021-02-01,2021-01-29,2021-02-08,0.0250055302247112,0.64,100,0,1.0,0.0,0.025005530224711192,1.3554315513106439,1.3554315513106439,-0.021759474606634854
2021-02-08,2021-02-05,2021-02-18,0.0258756266180636,0.58,100,0,1.0,0.0,0.02587562661806353,1.3905041920387007,1.3905041920387007,0.0
2021-02-18,2021-02-10,2021-02-22,0.0435789566346593,0.69,100,0,1.0,0.0,0.04357895663465938,1.4511009139238673,1.4511009139238673,0.0
2021-02-22,2021-02-19,2021-03-01,0.0086292810342585,0.57,100,0,1.0,0.0,0.008629281034258529,1.4636228715191857,1.4636228715191857,0.0
2021-03-01,2021-02-26,2021-03-08,0.0274949532726041,0.82,100,0,1.0,0.0,0.027494953272604095,1.5038651139803203,1.5038651139803203,0.0
2021-03-08,2021-03-05,2021-03-15,0.0172104706141776,0.59,100,0,1.0,0.0,0.017210470614177575,1.5297473403321653,1.5297473403321653,0.0
2021-03-15,2021-03-12,2021-03-22,0.0196566692648489,0.46,100,0,1.0,0.0,0.01965666926484899,1.559817077859857,1.559817077859857,0.0
2021-03-22,2021-03-19,2021-03-29,-0.01326400785674,0.6,100,0,1.0,0.0,-0.013264007856739979,1.5391276518840467,1.5391276518840467,-0.013264007856739979
2021-03-29,2021-03-26,2021-04-06,0.0151092868615468,0.98,100,0,1.0,0.0,0.015109286861546778,1.5623827730929016,1.5623827730929016,0.0
2021-04-06,2021-04-02,2021-04-12,-0.0066235670975907,0.93,100,0,1.0,0.0,-0.00662356709759071,1.552034225963201,1.552034225963201,-0.00662356709759071
2021-04-12,2021-04-09,2021-04-19,0.0329994560526949,0.93,100,0,1.0,0.0,0.03299945605269494,1.603250511195152,1.603250511195152,0.0
2021-04-19,2021-04-16,2021-04-26,-0.0101178574030506,0.69,100,0,1.0,0.0,-0.0101178574030506,1.5870290511415115,1.5870290511415115,-0.0101178574030506
2021-04-26,2021-04-23,2021-05-06,0.0213283176761404,0.89,100,0,1.0,0.0,0.021328317676140296,1.6208777109055212,1.6208777109055212,0.0
2021-05-06,2021-04-30,2021-05-10,0.0086707246690396,0.93,100,0,1.0,0.0,0.00867072466903962,1.6349318952589662,1.6349318952589662,0.0
2021-05-10,2021-05-07,2021-05-17,-0.0002543493180499,0.51,100,0,1.0,0.0,-0.0002543493180499068,1.634516051446349,1.634516051446349,-0.0002543493180499068
2021-05-17,2021-05-14,2021-05-24,0.0030612542150197,0.7,100,0,1.0,0.0,0.003061254215019682,1.6395197205983565,1.6395197205983565,0.0
2021-05-24,2021-05-21,2021-05-31,0.0214726602914429,0.93,100,0,1.0,0.0,0.02147266029144279,1.674724570599886,1.674724570599886,0.0
2021-05-31,2021-05-28,2021-06-07,-0.0011468730051738,0.91,100,0,1.0,0.0,-0.0011468730051737985,1.6728038741987639,1.6728038741987639,-0.0011468730051737985
2021-06-07,2021-06-04,2021-06-15,0.0423138036080655,0.94,100,0,1.0,0.0,0.04231380360806547,1.7435865688064214,1.7435865688064214,0.0
2021-06-15,2021-06-11,2021-06-21,0.0125908039043749,0.88,100,0,1.0,0.0,0.012590803904374948,1.765539725384565,1.765539725384565,0.0
2021-06-21,2021-06-18,2021-06-28,-0.0062712474531583,0.68,100,0,1.0,0.0,-0.006271247453158324,1.7544675888782972,1.7544675888782972,-0.006271247453158324
2021-06-28,2021-06-25,2021-07-05,0.0049818933876411,0.83,100,0,1.0,0.0,0.004981893387641101,1.7632081593581606,1.7632081593581606,-0.001320596751736458
2021-07-05,2021-07-02,2021-07-12,0.0465063378228175,0.53,100,0,1.0,0.0,0.046506337822817434,1.8452085136692193,1.8452085136692193,0.0
2021-07-12,2021-07-09,2021-07-19,-0.0283713328962826,0.51,100,0,1.0,0.0,-0.028371332896282575,1.7928574886648552,1.7928574886648552,-0.028371332896282575
2021-07-19,2021-07-16,2021-07-26,0.0023306647298861,0.98,100,0,1.0,0.0,0.0023306647298861893,1.7970360383793986,1.7970360383793986,-0.02610679223131762
2021-07-26,2021-07-23,2021-08-02,-0.0032940047077149,0.86,100,0,1.0,0.0,-0.0032940047077149037,1.7911165932090436,1.7911165932090436,-0.029314801042519156
2021-08-02,2021-07-30,2021-08-09,0.020968921191789,0.74,100,0,1.0,0.0,0.020968921191788947,1.8286743758973496,1.8286743758973496,-0.008960579603543795
2021-08-09,2021-08-06,2021-08-16,0.0322941531063585,0.71,100,0,1.0,0.0,0.032294153106358525,1.8877298661742532,1.8877298661742532,0.0
2021-08-16,2021-08-13,2021-08-23,-0.000717798784048,0.94,100,0,1.0,0.0,-0.0007177987840479849,1.8863748559717022,1.8863748559717022,-0.0007177987840479849
2021-08-23,2021-08-20,2021-08-30,0.02092218971339,0.72,100,0,1.0,0.0,0.020922189713389994,1.925841948578911,1.925841948578911,0.0
2021-08-30,2021-08-27,2021-09-06,0.0435068812285431,0.84,100,0,1.0,0.0,0.04350688122854307,2.0096293255006796,2.0096293255006796,0.0
